CustomerID,FirstName,LastName,Email,Phone,City,State,LastUpdated
1,"",White,david.white1@gmail.com,9440030663,Austin,IL,16-02-2025
2,Emma,Thomas,emma.thomas2@gmail.com,9917489574,Boston,IL,45-07-2025
3,Robert,Clark,,9650229169,Phoenix,IL,14-01-2025
4,Jane,Lewis,jane.lewis4@gmail.com,9742144634,Austin,CO,07-01-2025
5,James,Johnson,james.johnson5@gmail.com,9878295151,Atlanta,WA,20-10-2025
6,James,Brown,james.brown6@gmail.com,9249078381,Boston,MA,18-05-2025
7,Jane,Brown,jane.brown7@gmail.com,9566730092,Boston,CO,03-06-2025
8,Jane,Thomas,jane.thomas8@gmail.com,9370260533,Seattle,GA,01-11-2025
9,Emma,Johnson,emma.johnson9@gmail.com,9245480775,Boston,NY,22-07-2025
10,Sophia,White,sophia.white10@gmail.com,9963370520,Austin,GA,21-06-2025
11,Sophia,Brown,sophia.brown11@gmail.com,9422589929,Austin,WA,03-09-2025
12,James,Thomas,james.thomas12@gmail.com,9412940071,Denver,WA,16-06-2025
13,James,Thomas,james.thomas13@gmail.com,9222286118,Miami,WA,31-10-2025
14,David,Clark,david.clark14@gmail.com,9128900946,Denver,WA,13-08-2025
15,Jane,White,jane.white15@gmail.com,9822604249,Denver,TX,21-11-2025
16,Michael,Brown,michael.brown16@gmail.com,9867979226,Phoenix,CO,07-02-2025
17,Sophia,Martin,sophia.martin17@gmail.com,9725179752,Phoenix,FL,17-09-2025
18,James,Clark,james.clark18@gmail.com,9139476288,Austin,FL,01-11-2025
19,Jane,Johnson,jane.johnson19@gmail.com,9925658123,Seattle,AZ,27-03-2025
20,John,Lewis,john.lewis20@gmail.com,123,Phoenix,AZ,09-08-2025
21,Michael,Wilson,michael.wilson21@gmail.com,9648334433,Atlanta,FL,25-10-2025
22,Emily,Martin,emily.martin22@gmail.com,9501707828,Phoenix,GA,14-12-2025
23,Robert,Brown,robert.brown23@gmail.com,9470405910,New York,GA,23-02-2025
24,Jane,Johnson,jane.johnson24@gmail.com,9992620629,Dallas,AZ,09-06-2025
25,Emily,Clark,emily.clark25@gmail.com,9618537844,Austin,GA,19-02-2025
26,Emma,"",emma.thomas26@gmail.com,9172127903,Boston,NY,30-12-2025
27,Jane,Brown,jane.brown27@gmail.com,9895094534,Seattle,FL,31-03-2025
28,Sarah,Clark,sarah.clark28@gmail.com,9557810637,Denver,WA,27-07-2025
29,David,White,david.white29@gmail.com,9524753348,New York,WA,19-08-2025
30,James,Smith,james.smith30@gmail.com,9856704108,Seattle,WA,23-05-2025
31,Jane,Lewis,jane.lewis31@gmail.com,9209255425,Atlanta,TX,07-07-2025
32,Emma,Johnson,emma.johnson32@gmail.com,9381699808,Denver,FL,24-11-2025
33,James,Lewis,james.lewis33@gmail.com,9521490916,Miami,IL,28-06-2025
34,Emma,Lewis,emma.lewis34@gmail.com,123,Boston,IL,11-12-2025
35,Emily,Taylor,emily.taylor35@gmail.com,9225572934,Dallas,AZ,45-07-2025
36,Sophia,Brown,sophia.brown36@gmail.com,9717193289,Phoenix,CO,06-04-2025
37,Robert,"",robert.brown37@gmail.com,9695832844,Dallas,GA,28-05-2025
38,Emma,Lewis,emma.lewis38@gmail.com,9157564650,Austin,NY,45-07-2025
39,James,Martin,wrongemail,9546279777,Denver,GA,27-03-2025
40,Emily,Taylor,emily.taylor40@gmail.com,9135106082,Boston,WA,03-10-2025
41,Emma,Lewis,emma.lewis41@gmail.com,123,Denver,FL,19-09-2025
42,Michael,Clark,michael.clark42@gmail.com,9983993176,Austin,FL,22-01-2025
43,Emma,Clark,emma.clark43@gmail.com,9334657613,Phoenix,IL,01-12-2025
44,Michael,Smith,michael.smith44@gmail.com,9582896428,Boston,AZ,14-02-2025
45,Jane,Wilson,jane.wilson45@gmail.com,9325354965,Miami,AZ,30-12-2025
46,James,Brown,james.brown46@gmail.com,9761587312,Dallas,WA,16-04-2025
47,Sophia,Thomas,sophia.thomas47@gmail.com,9671532152,Boston,FL,28-03-2025
48,Michael,Taylor,michael.taylor48@gmail.com,9714970148,Boston,FL,14-12-2025
49,David,White,david.white49@gmail.com,9163657733,Boston,TX,26-12-2025
50,Emily,Brown,emily.brown50@gmail.com,9863854401,Austin,WA,13-12-2025
51,David,Lewis,david.lewis51@gmail.com,9779036456,Boston,CO,12-07-2025
52,Jane,White,jane.white52@gmail.com,9653635749,Boston,AZ,21-08-2025
53,Sarah,Lewis,sarah.lewis53@gmail.com,9102655449,Chicago,GA,22-11-2025
54,Sarah,Johnson,sarah.johnson54@gmail.com,9954352670,Atlanta,CO,22-04-2025
55,Emily,Martin,emily.martin55@gmail.com,9388339233,Austin,MA,22-06-2025
55,David,Lewis,david.lewis56@gmail.com,9621127607,Austin,NY,24-01-2025
57,John,Johnson,john.johnson57@gmail.com,9269633510,Denver,GA,01-01-2025
58,James,Wilson,james.wilson58@gmail.com,9839369897,Dallas,MA,23-03-2025
59,Michael,Johnson,michael.johnson59@gmail.com,9802858478,Austin,MA,12-02-2025
60,David,Smith,david.smith60@gmail.com,9525568516,Boston,WA,08-08-2025
61,Jane,Smith,jane.smith61@gmail.com,9329159242,Denver,IL,09-03-2025
62,Robert,Martin,robert.martin62@gmail.com,9109971784,New York,AZ,03-03-2025
63,James,Brown,james.brown63@gmail.com,123,Chicago,WA,16-07-2025
64,Jane,Thomas,jane.thomas64@gmail.com,9494666352,Boston,TX,15-07-2025
65,David,Brown,david.brown65@gmail.com,9173456403,Atlanta,NY,09-11-2025
66,Emma,Thomas,emma.thomas66@gmail.com,9875705487,Seattle,TX,30-07-2025
67,Emma,Wilson,emma.wilson67@gmail.com,9193080561,Chicago,TX,05-03-2025
68,James,Thomas,james.thomas68@gmail.com,9561052655,Austin,TX,07-05-2025
69,"",Wilson,jane.wilson69@gmail.com,9694205108,Miami,MA,20-12-2025
70,Emily,Clark,emily.clark70@gmail.com,9751682766,Atlanta,WA,20-07-2025
71,John,Wilson,john.wilson71@gmail.com,9631381642,Phoenix,IL,04-05-2025
72,Sophia,Johnson,sophia.johnson72@gmail.com,9667243311,New York,AZ,15-13-2025
73,Robert,Brown,robert.brown73@gmail.com,9918970742,Denver,IL,09-01-2025
74,John,Taylor,john.taylor74@gmail.com,9331652222,New York,NY,23-07-2025
75,Robert,White,robert.white75@gmail.com,9554810443,Phoenix,IL,24-11-2025
76,Sophia,Brown,sophia.brown76@gmail.com,9397928718,Chicago,MA,10-02-2025
77,Emily,Brown,emily.brown77@gmail.com,9675944565,Austin,CO,28-10-2025
78,Jane,Taylor,jane.taylor78@gmail.com,9850197517,Phoenix,WA,30-01-2025
79,James,Johnson,james.johnson79@gmail.com,9586804311,Miami,NY,08-06-2025
80,David,Johnson,david.johnson80@gmail.com,9113598909,Dallas,NY,25-03-2025
